"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_factor_2008"
"2898","SPpilar do sul",353790,"3537909",0.69,"SP","pilar do sul","São Paulo",6.79515752647866,4.73496962352294,0,28058,1,28058,1,"Não","Masculino",1,"61",0.0713245997088792,0,0.819505094614265,0.122557726465364,1,0,0,0,"SP","Pilar do Sul","pilar do sul","35558899.32",17.386701015375,0.660248764436468
"2899","SPpindamonhangaba",353800,"3538006",0.773,"SP","pindamonhangaba","São Paulo",6.72795853217129,4.93144777619924,0,142997,1,142997,0,"Sim","Masculino",0,"56",0.210696920583468,0.000693962526023595,0.93419773095624,0.0183900069396253,0,0,0,1,"SP","Pindamonhangaba","pindamonhangaba","224428595.4",19.2290681539755,0.747317663984553
"2900","SPpindorama",353810,"3538105",0.737,"SP","pindorama","São Paulo",6.41326221650371,5.86201054490348,0,15178,0,15178,1,"Não","Feminino",1,"49",0.498915401301518,0.0623556581986143,0.939262472885033,0,0,0,0,1,"SP","Pindorama","pindorama","22787178.46",16.941708587502,0.899279222236301
"2901","SPpinhalzinho",353820,"3538204",0.725,"SP","pinhalzinho","São Paulo",6.67307038182137,4.4500356890381,0,12451,0,12451,0,"Sim","Masculino",0,"58",0.261096605744125,0,0.89556135770235,0.116618075801749,1,0,0,0,"SP","Pinhalzinho","pinhalzinho","15968127.59",16.5861052678572,0.759950316274767
"2902","SPpiquerobi",353830,"3538303",0.711,"SP","piquerobi","São Paulo",6.66705856842034,6.31853558778813,0,3756,0,3756,1,"Sim","Masculino",1,"56",0.132352941176471,0,0.930147058823529,0.075098814229249,1,0,0,0,"SP","Piquerobi","piquerobi","9978734",16.1159667865336,0.698634492617836
"2903","SPpiquete",353850,"3538501",0.757,"SP","piquete","São Paulo",6.70071880934916,5.20351205927413,0,14766,0,14766,1,"Sim","Masculino",1,"62",0.258227848101266,0,0.944303797468354,0.0589812332439678,0,0,0,1,"SP","Piquete","piquete","16048668.99",16.5911364751295,0.76645656572147
"2904","SPpiracaia",353860,"3538600",0.739,"SP","piracaia","São Paulo",6.71590446267204,4.12438868357048,0,22815,0,22815,1,"Não","Feminino",0,"33",0.310850439882698,0,0.956011730205279,0.0460122699386503,0,0,0,1,"SP","Piracaia","piracaia","36865069.28",17.4227750286934,0.795674857653552
"2905","SPpiracicaba",353870,"3538709",0.785,"SP","piracicaba","São Paulo",6.65003322277318,4.92884661866325,0,365440,1,365440,1,"Sim","Masculino",0,"58",0.352916491817037,0,0.953210239194293,0.0294959278010125,1,0,0,0,"SP","Piracicaba","piracicaba","621814309.9",20.2481520689941,0.819885304585115
"2906","SPpiraju",353880,"3538808",0.758,"SP","piraju","São Paulo",6.73142374612039,5.64629459478357,0,29282,1,29282,1,"Sim","Masculino",0,"80",0.19327731092437,0.0029673590504451,0.943977591036415,0.0534124629080119,0,0,0,1,"SP","Piraju","piraju","45825285.58",17.6403465836401,0.733351717752497
"2907","SPpirangi",353900,"3539004",0.756,"SP","pirangi","São Paulo",6.38943497345389,5.83875033506669,0,10744,0,10744,0,"Não","Masculino",0,"49",0.196581196581197,0,0.965811965811966,0.0353982300884956,1,0,0,0,"SP","Pirangi","pirangi","15585102.45",16.5618260447905,0.737610487976217
"2908","SPpirapora do bom jesus",353910,"3539103",0.727,"SP","pirapora do bom jesus","São Paulo",6.74819666929304,3.71186329050431,0,15410,1,15410,0,"Não","Masculino",0,"50",0.114401076716016,0,0.815612382234186,0.226072607260726,1,0,0,0,"SP","Pirapora do Bom Jesus","pirapora do bom jesus","47359192.61",17.673271500464,0.668323327648977
"2909","SPpirapozinho",353920,"3539202",0.776,"SP","pirapozinho","São Paulo",6.70166548223375,6.24972424551147,0,24964,0,24964,1,"Não","Masculino",1,"45",0.186457311089303,0.0245901639344262,0.957801766437684,0.0194672131147541,0,0,0,1,"SP","Pirapozinho","pirapozinho","29417024.35",17.1970841242424,0.734243270116761
"2910","SPpirassununga",353930,"3539301",0.801,"SP","pirassununga","São Paulo",6.5413474091275,5.25038683279049,0,70912,1,70912,1,"Sim","Masculino",1,"51",0.26208829712684,0.000725163161711385,0.966362999299229,0.0340826686004351,1,0,0,0,"SP","Pirassununga","pirassununga","95510540.01",18.3747471659579,0.771915355445852
"2911","SPpiratininga",353940,"3539400",0.779,"SP","piratininga","São Paulo",6.61784405715534,5.65336598874218,0,11868,0,11868,0,"Não","Masculino",1,"60",0.24390243902439,0,0.946341463414634,0.0567010309278351,1,0,0,0,"SP","Piratininga","piratininga","15784228.56",16.5745218070663,0.759309119048827
"2912","SPplanalto",353960,"3539608",0.719,"SP","planalto","São Paulo",6.43147599896873,6.08495489019532,0,4247,0,4247,1,"Sim","Masculino",0,"42",0.194312796208531,0,0.943127962085308,0.0603015075376884,1,0,0,0,"SP","Planalto","planalto","10495334.65",16.1664413973412,0.732971589462589
"2913","SPplatina",353970,"3539707",0.719,"SP","platina","São Paulo",6.68339849199507,5.93677074068533,0,3359,0,3359,0,"Não","Masculino",0,"49",0.152777777777778,0,0.972222222222222,0.0285714285714286,0,0,0,1,"SP","Platina","platina","8299923.2",15.931756819712,0.715735239382811
"2914","SPpoloni",353990,"3539905",0.766,"SP","poloni","São Paulo",6.38239114809502,6.10833605633924,0,5074,0,5074,0,"Não","Masculino",0,"44",0.147651006711409,0,0.852348993288591,0.173228346456693,0,0,0,1,"SP","Poloni","poloni","9188791.19",16.0334949503158,0.692983229140958
"2915","SPpontal",354020,"3540200",0.725,"SP","pontal","São Paulo",6.36835869822811,5.75447558897172,0,38409,0,38409,0,"Não","Masculino",1,"41",0.250329380764163,0,0.91304347826087,0.0952380952380952,0,0,0,1,"SP","Pontal","pontal","44140509.66",17.6028885051693,0.757308161959953
"2916","SPpontalinda",354025,"3540259",0.702,"SP","pontalinda","São Paulo",6.37369514574323,6.27108294535017,0,4142,0,4142,0,"Sim","Masculino",0,"49",0.212121212121212,0,0.883838383838384,0.131428571428571,0,0,0,1,"SP","Pontalinda","pontalinda","11067594.86",16.219532014593,0.732376690753356
"2917","SPpontes gestal",354030,"3540309",0.732,"SP","pontes gestal","São Paulo",6.25879721780967,6.19725846008708,0,2557,1,2557,1,"Sim","Masculino",0,"59",0.225165562913907,0,0.95364238410596,0.0486111111111111,1,0,0,0,"SP","Pontes Gestal","pontes gestal","10027971.48",16.1208888942196,0.750669649100258
"2918","SPpopulina",354040,"3540408",0.714,"SP","populina","São Paulo",6.29147654267877,6.34118788452211,0,4275,0,4275,0,"Não","Masculino",1,"43",0.144067796610169,0.0147058823529412,0.864406779661017,0.0686274509803922,0,0,0,1,"SP","Populina","populina","10723200.83",16.1879202539274,0.705454907314733
"2919","SPporangaba",354050,"3540507",0.703,"SP","porangaba","São Paulo",6.71253083683266,5.05955243433087,0,8739,0,8739,0,"Não","Masculino",1,"53",0.045662100456621,0.0205128205128205,0.89041095890411,0.0615384615384615,1,0,0,0,"SP","Porangaba","porangaba","12165139.83",16.314085028585,0.65509484043276
"2920","SPporto feliz",354060,"3540606",0.758,"SP","porto feliz","São Paulo",6.71880781929579,4.58394654953646,0,47774,1,47774,1,"Sim","Masculino",1,"43",0.295343137254902,0,0.888480392156863,0.0724137931034483,0,1,0,0,"SP","Porto Feliz","porto feliz","95255315.4",18.3720713751385,0.7839301038715
"2921","SPporto ferreira",354070,"3540705",0.751,"SP","porto ferreira","São Paulo",6.51775989527766,5.33397404375607,0,50791,1,50791,1,"Sim","Masculino",0,"40",0.373399715504979,0,0.932432432432432,0.0602593440122044,0,1,0,0,"SP","Porto Ferreira","porto ferreira","96970619.58",18.3899185996591,0.826287213686459
"2922","SPpotim",354075,"3540754",0.697,"SP","potim","São Paulo",6.72634131020555,5.08642280741172,0,20026,0,20026,1,"Não","Masculino",0,"44",0.279475982532751,0,0.692139737991266,0.0914826498422713,0,0,0,1,"SP","Potim","potim","19110392.71",16.7657428659791,0.773015753160665
