code_muni;ADM_DIRETA;SI;EF;EM;ES;POS_GRAD;ESTATUTARIOS;ESTATUTARIOS_SI;ESTATUTARIOS_EF;ESTATUTARIOS_EM;ESTATUTARIOS_ES;ESTATUTARIOS_POS;CLT;CLT_SI;CLT_EF;CLT_EM;CLT_ES;CLT_POS;COMISSIONADOS;COMISSIONADOS_SI;COMISSIONADOS_EF;COMISSIONADOS_EM;COMISSIONADOS_ES;COMISSIONADOS_POS;SEMVINC;SEMVINC_SI;SEMVINC_EF;SEMVINC_EF;SEMVINC_ES;SEMVINC_POS
120040;4303;25;1208;1501;1403;166;0;0;0;0;0;0;3986;25;1168;1377;1257;159;293;0;40;113;134;6;14;0;0;1;12;1
120042;398;0;168;197;25;8;386;0;166;194;18;8;0;0;0;0;0;0;12;0;2;3;7;0;0;0;0;0;0;0
120043;201;34;53;106;7;1;0;0;0;0;0;0;198;31;53;106;7;1;3;3;0;0;0;0;0;0;0;0;0;0
120045;723;0;224;345;102;52;640;0;224;268;96;52;0;0;0;0;0;0;83;0;0;77;6;0;0;0;0;0;0;0
120050;665;3;167;414;81;0;0;0;0;0;0;0;632;3;163;392;74;0;33;0;4;22;7;0;0;0;0;0;0;0
120060;1036;2;367;595;72;0;0;0;0;0;0;0;852;2;280;510;60;0;61;0;13;42;6;0;123;0;74;43;6;0
120070;458;68;60;245;48;37;0;0;0;0;0;0;393;67;57;190;45;34;51;0;0;49;2;0;14;1;3;6;1;3
120080;299;35;83;135;35;11;0;0;0;0;0;0;263;35;77;110;30;11;36;0;6;25;5;0;0;0;0;0;0;0
130002;659;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;454;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;198;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;6;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;1;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
130006;179;0;60;95;23;1;150;0;60;70;20;0;0;0;0;0;0;0;29;0;0;25;3;1;0;0;0;0;0;0
130008;218;0;45;124;49;0;112;0;45;63;4;0;0;0;0;0;0;0;53;0;0;12;41;0;53;0;0;49;4;0
130010;142;0;0;92;50;0;80;0;0;51;29;0;0;0;0;0;0;0;51;0;0;30;21;0;11;0;0;11;0;0
130014;676;0;332;197;110;37;348;0;133;79;101;35;0;0;0;0;0;0;69;0;26;40;3;0;259;0;173;78;6;2
130020;630;381;97;80;72;0;131;0;46;30;55;0;0;0;0;0;0;0;23;0;3;20;0;0;476;381;48;30;17;0
130030;1183;189;593;331;70;0;550;0;180;300;70;0;0;0;0;0;0;0;50;0;20;30;0;0;582;189;393;0;0;0
130040;988;1;295;589;101;2;711;1;229;404;76;1;0;0;0;0;0;0;61;0;4;42;15;0;216;0;62;143;10;1
