"","code_merge","code_muni","cand_reelec_2012","cand_sex_2012","cand_age_2012","cand_esc_2012","cand_reelec_2008","cand_sex_2008","cand_age_2008","cand_esc_2008","code_muni2","pop_2012","pop_2008","IDHM","UF.x","MUNICIPIO.x","log_to_brasilia","log_to_capital","Nome_UF","MicrorregiãoGeográfica_Nome","metropolitano","bur_escol_2008.x","bur_terc_2008.x","bur_espel_2008.x","bur_polit_2008.x","bur_escol_2008.y","bur_terc_2008.y","bur_espel_2008.y","bur_polit_2008.y","bur_consel_2008","bur_consel_2012","alinhamento_federal_2008","alinhamento_estadual_2008","alinhamento_politico_2008","alinhamento_ambos_2008","n_alinhado_2008","alinhamento_federal_2012","alinhamento_estadual_2012","alinhamento_politico_2012","alinhamento_ambos_2012","n_alinhado_2012","partido_pt_2012","competpol_NEP_2004","competpol_candvaga_2004","competpol_NEP_2008","competpol_candvaga_2008","municipio.x","Habilitado","inova7","UF.y","MUNICIPIO.y","municipio.y","rec_orcamento_2012","log_orcamento_2012","orcamento_proppop_2012"
"4502","SPguararapes",351820,"Sim","Masculino","42",1,"Não","Masculino","38",1,"3518206",30862,29589,0.763,"SP","Guararapes",6.5120276077797,6.18218820716608,"São Paulo","Araçatuba",0,0.203166226912929,0,0.911609498680739,0.0883905013192612,0.203166226912929,0,0.911609498680739,0.0883905013192612,1,1,0,0,0,0,1,0,1,1,0,0,0,1.969341177,3,2.338353224,3,"guararapes","Sim",1,"SP","Guararapes","guararapes",61110381.66,17.9281923223106,1980.11735013933
"4503","SPguararema",351830,"Sim","Masculino","44",1,"Não","Masculino","40",0,"3518305",26439,26523,0.731,"SP","Guararema",6.77059445077451,4.14392806241093,"São Paulo","Mogi das Cruzes",1,0.342465753424658,0,3.80365296803653,0.089041095890411,0.342465753424658,0,3.80365296803653,0.089041095890411,0,1,0,0,0,0,1,0,0,0,0,1,0,2.092877639,4,1.88023987,3,"guararema","Sim",1,"SP","Guararema","guararema",162282457.12,18.9048489374253,6137.99527667461
"4506","SPguariba",351860,"Não","Masculino","60",1,"Não","Masculino","49",1,"3518602",36151,34217,0.719,"SP","Guariba",6.43174967386077,5.68078675486189,"São Paulo","Jaboticabal",0,0.383428107229894,0,3.98050365556458,0.0170593013809911,0.383428107229894,0,3.98050365556458,0.0170593013809911,1,1,0,0,0,0,1,0,1,1,0,0,0,2.469717773,4,2.110500397,3,"guariba","Sim",1,"SP","Guariba","guariba",78492940.63,18.1785192504286,2171.25226494426
"4507","SPguaruja",351870,"Sim","Feminino","44",1,"Não","Feminino","40",1,"3518701",294669,304274,0.751,"SP","Guarujá",6.83500177373921,4.13995507347415,"São Paulo","Santos",1,0.391376727151656,0.013151323455968,0.88596637256534,0.076077909106043,0.391376727151656,0.013151323455968,0.88596637256534,0.076077909106043,1,1,0,0,0,0,1,0,0,0,0,1,0,3.165090268,5,2.273094608,6,"guaruja","Sim",1,"SP","Guaruja","guaruja",884244606.97,20.6002442870434,3000.80635211033
"4518","SPibira",351940,"Sim","Masculino","50",0,"Não","Masculino","46",0,"3519402",11115,10992,0.74,"SP","Ibirá",6.40577376387004,5.94944391784537,"São Paulo","São José do Rio Preto",0,0.197044334975369,0.0344827586206897,382.024630541872,0,0.197044334975369,0.0344827586206897,382.024630541872,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2.080245707,3,1.903156697,2,"ibira","Sim",1,"SP","Ibira","ibira",29187146,17.1892389648402,2625.9240665767
"4520","SPibitinga",351960,"Não","Masculino","61",1,"Não","Masculino","32",0,"3519600",54146,52582,0.747,"SP","Ibitinga",6.5093948726039,5.70518149556991,"São Paulo","Araraquara",0,0.210161662817552,0.00808314087759815,31.8418013856813,0.11431870669746,0.210161662817552,0.00808314087759815,31.8418013856813,0.11431870669746,1,1,0,1,1,0,0,0,0,0,0,1,0,2.889159765,5,2.949921667,3,"ibitinga","Sim",1,"SP","Ibitinga","ibitinga",92306038.52,18.340620120085,1704.76191260666
"4523","SPiepe",351990,"Não","Feminino","58",1,"Não","Masculino","50",1,"3519907",7685,7806,0.736,"SP","Iepê",6.72536972014009,6.14132747622778,"São Paulo","Assis",0,0.13986013986014,0,244.066433566434,0.0804195804195804,0.13986013986014,0,244.066433566434,0.0804195804195804,0,1,0,0,0,0,1,1,0,1,0,0,0,2.586775792,3,2.173403534,3,"iepe","Sim",1,"SP","Iepe","iepe",23238425.53,16.9613177393741,3023.86799349382
"4524","SPigaracu do tiete",352000,"Não","Masculino","54",1,"Não","Masculino","45",1,"3520004",23475,24003,0.727,"SP","Igaraçu do Tietê",6.62157873931358,5.42978412929034,"São Paulo","Jaú",0,0.182773109243697,0,421.008403361345,0.107142857142857,0.182773109243697,0,421.008403361345,0.107142857142857,1,1,0,1,1,0,0,0,1,1,0,0,0,2.182137396,3,2.361864094,4,"igaracu do tiete","Sim",1,"SP","Igaracu do Tiete","igaracu do tiete",45869897.76,17.6413196376631,1953.98925495208
"4525","SPigarapava",352010,"Não","Masculino","58",1,"Sim","Masculino","47",1,"3520103",28259,28038,0.768,"SP","Igarapava",6.16091191941833,6.00829708176803,"São Paulo","Ituverava",0,0.504823151125402,0,852.041800643087,0.0321543408360129,0.504823151125402,0,852.041800643087,0.0321543408360129,1,1,0,0,0,0,1,0,1,1,0,0,0,2.981831651,3,1.831107087,2,"igarapava","Não",0,"SP","Igarapava","igarapava",64256903.75,17.978399727329,2273.85624933649
"4527","SPiguape",352030,"Não","Masculino","48",1,"Sim","Feminino","58",1,"3520301",29055,30397,0.726,"SP","Iguape",6.90125419263978,5.06997281344176,"São Paulo","Registro",0,0.299572039942939,0,0.927246790299572,0.072753209700428,0.299572039942939,0,0.927246790299572,0.072753209700428,0,1,0,0,0,0,1,0,0,0,0,1,0,2.604545118,4,3.087143103,5,"iguape","Sim",1,"SP","Iguape","iguape",63176719.06,17.9614464219487,2174.38372259508
