"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2012","partido_pt_2012","inova7","pop_2012.1","bur_consel_2012","cand_reelec_2012","cand_sex_2012","cand_esc_2012","cand_age_2012","bur_escol_2011","bur_terc_2011","bur_espel_2012","bur_polit_2012","alinhamento_estadual_2012","alinhamento_federal_2012","alinhamento_ambos_2012","n_alinhado_2012","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2012","log_orcamento_2012","iqb_pcr_2012","iqb_factor_2012"
"81","AMmanacapuru",130250,"1302504",0.614,"AM","manacapuru","Amazonas",7.58230051114242,4.24477404124751,0,86985,0,0,86985,1,"Não","Masculino",0,"59",0.209792709077913,0.577124868835257,0.502376425855513,0.365184484389782,0,0,0,1,"AM","Manacapuru","manacapuru","108198844.26",18.4994812428039,0.232637400563243,0.537733184527627
"82","AMmanaquiri",130255,"1302553",0.596,"AM","manaquiri","Amazonas",7.57064941637106,4.09916625250131,0,24325,0,1,24325,1,"Não","Masculino",0,"49",0.112139917695473,0.52156862745098,0.279761904761905,0.468085106382979,0,0,0,1,"AM","Manaquiri","manaquiri","33780413.75",17.3353917176407,0.276089797393467,0.449081635664026
"84","AMnova olinda do norte",130310,"1303106",0.558,"AM","nova olinda do norte","Amazonas",7.49533081048606,4.90771624008841,0,31749,1,1,31749,1,"Não","Masculino",0,"48",0.0727401129943503,0.719895287958115,0.274092615769712,0.100456621004566,0,0,0,1,"AM","Nova Olinda do Norte","nova olinda do norte","43970319.26",17.5990254019903,0.226807304142331,0.518108186619999
"85","AMparintins",130340,"1303403",0.658,"AM","parintins","Amazonas",7.46835344137259,5.91090503924957,0,103828,0,1,103828,1,"Não","Masculino",1,"38",0.180280046674446,0.476646706586826,0.250600240096038,0.044311377245509,0,0,0,1,"AM","Parintins","parintins","152758385.68",18.8443680525779,0.180071235675951,0.606297391926027
"86","AMpauini",130350,"1303502",0.496,"AM","pauini","Amazonas",7.72178291545794,6.82928550027365,0,18329,0,0,18329,0,"Não","Masculino",0,"50",0.188818565400844,0.0527182866556837,0.634072580645161,0.0174880763116057,0,0,0,1,"AM","Pauini","pauini","27707628.45",17.1372183285501,0.160187460242179,0.626956711377971
"87","AMpresidente figueiredo",130353,"1303536",0.647,"AM","presidente figueiredo","Amazonas",7.61232200759659,4.77710464989556,0,28652,0,0,28652,1,"Não","Masculino",1,"51",0.199171842650104,0,0.612737341772152,0.140735958683021,0,0,0,1,"AM","Presidente Figueiredo","presidente figueiredo","122215407.13",18.6212956780144,0.177902560961054,0.601731777581512
"88","AMrio preto da eva",130356,"1303569",0.611,"AM","rio preto da eva","Amazonas",7.57214283787066,4.0524803581234,0,26948,0,0,26948,1,"Não","Masculino",1,"46",0.0740452065471551,0.160984848484848,0.403726708074534,0.25982905982906,0,0,0,1,"AM","Rio Preto da Eva","rio preto da eva","40098337.23",17.506845425831,0.238266171083943,0.487119614135875
"89","AMsanta isabel do rio negro",130360,"1303601",0.479,"AM","santa isabel do rio negro","Amazonas",7.83866660714134,6.44629108475387,0,19292,0,1,19292,1,"Não","Masculino",1,"65",0.28169014084507,0.0537634408602151,0.4770206022187,0.0199335548172757,0,0,0,1,"AM","Santa Isabel do Rio Negro","santa isabel do rio negro","24438874.81",17.0116856523371,0.135312931163923,0.685531561888017
"90","AMtabatinga",130406,"1304062",0.616,"AM","tabatinga","Amazonas",7.91029342943733,7.00977020438887,0,54440,0,1,54440,0,"Não","Masculino",0,"52",0.106252135292108,0.145569620253165,0.360066555740433,0.121072088724584,0,0,0,1,"AM","Tabatinga","tabatinga","59720329.84",17.9051830537278,0.204104857997497,0.544923308530341
"91","AMtonantins",130423,"1304237",0.548,"AM","tonantins","Amazonas",7.8655602457229,6.76152647143605,0,17316,0,0,17316,1,"Sim","Masculino",0,"45",0.334075723830735,0.00598802395209581,0.696741854636591,0.0629496402877698,0,0,0,1,"AM","Tonantins","tonantins","27038469.42",17.112771203247,0.127303130822658,0.708400007318892
"92","AMuarini",130426,"1304260",0.527,"AM","uarini","Amazonas",7.76531883774495,6.33601124024673,0,12139,0,0,12139,0,"Não","Masculino",0,"38",0,26,0.113227513227513,0.0654205607476635,0,0,0,1,"AM","Uarini","uarini","26739704.74",17.1016600876923,1,0
"93","AMurucurituba",130440,"1304401",0.588,"AM","urucurituba","Amazonas",7.49406307311597,5.33585397007676,0,18679,0,0,18679,0,"Não","Masculino",0,"49",0.222900763358779,0.162679425837321,0.771897810218978,0.295508274231678,0,1,0,0,"AM","Urucurituba","urucurituba","26588309.31",17.0959821775196,0.20409886230913,0.572543001851128
"94","APferreira gomes",160023,"1600238",0.656,"AP","ferreira gomes","Amapá",7.54125329930826,4.52124495105033,0,6141,0,0,6141,0,"Não","Masculino",1,"44",0.0368550368550369,0.00666666666666667,0.730769230769231,0.249122807017544,0,0,0,1,"AP","Ferreira Gomes","ferreira gomes","23416720.14",16.9689608610661,0.241856521833014,0.469183158093986
"95","APlaranjal do jari",160027,"1600279",0.665,"AP","laranjal do jari","Amapá",7.45907388314917,5.23994645322171,0,41668,0,1,41668,1,"Não","Masculino",0,"44",0.167684996605567,0.000824402308326463,0.825613079019074,0.0742574257425743,0,0,0,1,"AP","Laranjal do Jari","laranjal do jari","64476913.68",17.9818177902528,0.174586397864409,0.599339122197196
