"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_pcr_2008","iqb_factor_2008"
"41","ALigreja nova",270320,"2703205",0.568,"AL","igreja nova","Alagoas",7.22465143407231,4.73312355029855,0,23606,0,23606,0,"Sim","Masculino",1,"66",0.245508982035928,0.0318181818181818,0.790419161676647,0.121212121212121,0,0,0,1,"AL","Igreja Nova","igreja nova","24454147.31",17.0123103836315,0.0610446507301248,0.750797785513125
"43","ALjaramataia",270370,"2703700",0.552,"AL","jaramataia","Alagoas",7.21978112269842,4.93368225292813,0,6112,0,6112,0,"Sim","Masculino",0,"54",0.304878048780488,0,0.981707317073171,0.0186335403726708,1,0,0,0,"AL","Jaramataia","jaramataia","8942085.02",16.0062793436709,0.043508660750312,0.796363685611154
"44","ALjoaquim gomes",270380,"2703809",0.531,"AL","joaquim gomes","Alagoas",7.32273497945889,4.08227198098783,0,22366,0,22366,1,"Não","Masculino",0,"40",0.0217755443886097,0,0.981574539363484,0.0187713310580205,0,0,0,1,"AL","Joaquim Gomes","joaquim gomes","20688797.25",16.8451029160842,0.0750303922183892,0.64883948041785
"45","ALjunqueiro",270400,"2704005",0.575,"AL","junqueiro","Alagoas",7.24522701593643,4.45608996297394,0,25175,1,25175,1,"Não","Masculino",0,"28",0.162668665667166,0,0.986506746626687,0.0113981762917933,0,0,0,1,"AL","Junqueiro","junqueiro","28600719.13",17.1689424198796,0.0586207250526706,0.723272630313056
"47","ALlimoeiro de anadia",270420,"2704203",0.58,"AL","limoeiro de anadia","Alagoas",7.25050065539644,4.43781605631592,0,26236,0,26236,0,"Não","Masculino",1,"42",0.299154334038055,0,0.978858350951374,0.0215982721382289,0,0,0,1,"AL","Limoeiro de Anadia","limoeiro de anadia","22674492.82",16.9367511863504,0.0444387588712374,0.79296990041181
"48","ALmajor isidoro",270440,"2704401",0.566,"AL","major isidoro","Alagoas",7.2262817347289,4.92623867745751,0,19369,0,19369,1,"Não","Masculino",1,"54",0.166032953105196,0,0.901140684410646,0.109704641350211,0,1,0,0,"AL","Major Isidoro","major isidoro","19446655.83",16.783185676485,0.0679641919779836,0.71137894161718
"49","ALmar vermelho",270490,"2704906",0.577,"AL","mar vermelho","Alagoas",7.26965156794351,4.32532399930409,0,4129,0,4129,0,"Não","Feminino",0,"44",0.167582417582418,0,0.854395604395604,0.170418006430868,0,0,0,1,"AL","Mar Vermelho","mar vermelho","7537192.83",15.8353603669484,0.0737934469067505,0.703758227109232
"50","ALmaragogi",270450,"2704500",0.574,"AL","maragogi","Alagoas",7.35949946461103,4.52135369989498,0,26520,1,26520,1,"Sim","Masculino",1,"47",0.428438661710037,0.0108342361863489,0.857806691449814,0.085590465872156,0,0,0,1,"AL","Maragogi","maragogi","33185878.44",17.3176349952077,0.036644190772807,0.851313929913312
"51","ALmaravilha",270460,"2704609",0.569,"AL","maravilha","Alagoas",7.21447498031106,5.21210566972897,0,10452,1,10452,0,"Não","Masculino",1,"48",0.0238095238095238,0.0173697270471464,0.95952380952381,0.0248138957816377,0,0,0,1,"AL","Maravilha","maravilha","13801090.97",16.4402582027998,0.0758316577026878,0.648845802552037
"52","ALmarechal deodoro",270470,"2704708",0.642,"AL","marechal deodoro","Alagoas",7.29213974347906,2.90197089373952,0,46565,0,46565,1,"Não","Masculino",0,"36",0.24988055422838,0.002088772845953,0.914954610606785,0.0454308093994778,0,0,0,1,"AL","Marechal Deodoro","marechal deodoro","67781383.21",18.0317981312823,0.0523303886136572,0.763962585368793
"53","ALmaribondo",270480,"2704807",0.597,"AL","maribondo","Alagoas",7.27010409601667,4.14741128315879,0,14249,0,14249,0,"Não","Masculino",1,"41",0.147350993377483,0,0.937086092715232,0.0671378091872792,0,0,0,1,"AL","Maribondo","maribondo","15466408.39",16.5541810294665,0.0658355521116946,0.707554058245416
"55","ALmessias",270520,"2705200",0.568,"AL","messias","Alagoas",7.30753089927259,3.51393065164939,0,15547,0,15547,0,"Não","Feminino",1,"49",0.0993710691823899,0.0919811320754717,0.533333333333333,0.0259433962264151,1,0,0,0,"AL","Messias","messias","19231385.86",16.7720541825709,0.0693820334873087,0.6871369310268
"56","ALmurici",270550,"2705507",0.527,"AL","murici","Alagoas",7.30391051776452,3.82820651933504,0,26731,1,26731,0,"Sim","Masculino",1,"29",0.112582781456954,0.0486187845303867,0.749172185430464,0.0298342541436464,0,0,0,1,"AL","Murici","murici","27638930.63",17.1347358668968,0.0672220029221294,0.694016341204295
"57","ALnovo lino",270560,"2705606",0.521,"AL","novo lino","Alagoas",7.33710617021626,4.43153082957697,0,12266,0,12266,0,"Não","Masculino",0,"50",0.205047318611987,0,0.8801261829653,0.136200716845878,1,0,0,0,"AL","Novo Lino","novo lino","14045209.15",16.45779190983,0.066241277181755,0.728028521737053
"58","ALouro branco",270610,"2706109",0.547,"AL","ouro branco","Alagoas",7.21712056226506,5.22778760035751,0,11381,0,11381,0,"Não","Masculino",0,"39",0.034324942791762,0.0119904076738609,0.954233409610984,0.0191846522781775,0,0,0,1,"AL","Ouro Branco","ouro branco","11848797.47",16.2877369410711,0.0739716022620133,0.655172562502832
"59","ALpariconha",270642,"2706422",0.548,"AL","pariconha","Alagoas",7.16878788795913,5.53445611335706,0,10505,0,10505,1,"Sim","Masculino",0,"52",0.143181818181818,0.0451807228915663,0.754545454545455,0.147590361445783,0,0,0,1,"AL","Pariconha","pariconha","12950056.62",16.376610718301,0.0753718412295586,0.693655338210419
"61","ALpaulo jacinto",270660,"2706604",0.589,"AL","paulo jacinto","Alagoas",7.27406367188911,4.34652898232072,0,7752,0,7752,0,"Sim","Masculino",1,"46",0.164383561643836,0,0.938356164383562,0.0656934306569343,0,0,0,1,"AL","Paulo Jacinto","paulo jacinto","10477112.27",16.1647036521315,0.0637971180770485,0.716629052054911
"62","ALpenedo",270670,"2706703",0.63,"AL","penedo","Alagoas",7.22371863897181,4.75522678219477,0,60750,1,60750,0,"Não","Masculino",1,"53",0.146477445514445,0.031328320802005,0.808920425747592,0.178571428571429,0,0,0,1,"AL","Penedo","penedo","70183843.4",18.0666286915101,0.0777244506884305,0.691242940777278
"63","ALpindoba",270700,"2707008",0.574,"AL","pindoba","Alagoas",7.27504073184813,4.1658897293852,0,3218,0,3218,0,"Não","Masculino",1,"53",0.10738255033557,0,0.832214765100671,0.201612903225806,0,0,0,1,"AL","Pindoba","pindoba","6541391.66",15.6936604928453,0.0835771492723173,0.66806187739576
